21,85,0
37,44,0
26,84,1
40,78,1
39,76,1
23,73,1
40,56,1
41,67,1
24,45,0
20,86,1
41,68,0
32,46,1
36,68,0
38,44,1
35,30,0
25,52,0
20,65,1
40,60,1
34,45,0
37,32,1
21,94,1
36,56,1
35,86,0
35,57,0
33,54,1
22,60,0
28,60,1
37,30,1
26,39,0
29,38,1
40,73,1
24,80,1
24,43,0
35,93,1
41,37,1
22,46,1
20,40,0
20,34,1
39,85,1
38,39,0
37,68,1
25,51,1
32,45,0
35,63,0
33,32,1
25,40,1
29,78,0
21,58,0
38,62,1
20,52,1
30,97,1
41,40,0
28,68,1
41,82,1
30,50,1
32,79,0
22,56,0
24,63,0
36,98,1
21,99,1
35,58,1
24,79,0
20,90,0
39,92,0
35,47,1
24,76,1
30,59,0
27,84,0
29,47,0
40,41,0
25,42,1
37,47,0
31,84,0
27,51,1
29,93,0
34,90,0
28,85,1
34,59,1
39,51,0
22,54,1
26,76,1
40,100,1
35,96,0
26,74,1
36,67,1
39,71,1
37,55,1
30,42,0
24,59,0
32,30,1
41,55,0
22,95,1
23,80,1
22,84,0
39,62,0
30,59,0
27,85,0
27,48,1
31,85,1
25,73,1
36,94,0
29,47,1
29,72,0
21,97,0
40,42,1
20,66,1
21,93,0
36,48,1
30,97,0
32,55,1
40,77,1
25,80,1
31,42,0
22,87,0
30,74,0
36,84,0
34,83,1
32,71,1
41,66,1
23,55,0
41,50,1
21,37,1
35,87,0
32,71,0
29,94,1
36,35,0
36,87,0
22,67,1
20,31,0
34,100,0
24,58,1
20,60,1
36,98,0
30,32,0
37,87,1
35,97,0
35,69,1
27,70,1
30,72,0
30,61,1
24,47,0
31,54,1
35,30,1
34,75,1
21,64,1
24,61,1
39,62,1
21,100,0
21,92,1
25,41,1
22,40,1
33,43,0
39,91,0
29,68,1
28,78,1
40,75,1
38,59,1
32,85,0
40,85,0
32,77,0
39,90,1
26,47,0
30,62,0
39,73,0
28,68,0
25,81,1
28,68,0
22,68,0
36,32,0
39,76,0
38,87,0
39,55,0
25,60,0
41,34,1
33,76,0
38,34,1
26,91,0
30,84,0
23,69,0
36,93,1
35,77,1
35,83,0
31,88,0
26,97,0
38,60,0
24,37,0
21,61,0
22,39,0
25,93,1
38,75,1
35,100,0
30,93,0
22,43,1
30,76,1
28,56,1
25,61,0
40,50,1
26,53,1
27,44,1
36,81,1
